Date,B1,B2,B3,B4,B5,B6,BB,LC,RH,PD,TMP,TMP2,TMP3
2020-04-17,13,35,39,46,55,14,2,4,54,2892,2020-04-17T22,,
2020-04-14,29,47,65,69,70,7,3,4,53,2890,2020-04-14T22,,
2020-04-10,2,11,21,57,60,13,3,3,46,2892,2020-04-10T22,,
2020-04-07,25,33,43,51,68,20,5,2,84,2887,2020-04-07T22,,
2020-04-03,24,38,44,57,58,17,5,2,46,2887,2020-04-03T22,,
2020-03-31,8,17,51,57,70,2,5,1,68,2874,2020-03-31T22,,
2020-03-27,3,25,28,50,60,1,5,1,68,2888,2020-03-27T22,,
2020-03-24,2,8,16,18,31,14,4,1,73,2869,2020-03-24T22,,
2020-03-20,34,35,41,45,54,5,5,4,70,2915,2020-03-20T22,,
2020-03-17,20,27,28,58,59,25,3,4,84,2915,2020-03-17T22,,
2020-03-13,7,22,37,43,44,22,4,4,70,2914,2020-03-13T22,,
2020-03-10,6,17,48,54,69,12,4,3,87,2913,2020-03-10T22,,
2020-03-06,15,48,56,58,70,4,3,2,47,2923,2020-03-06T22,,
2020-03-03,8,12,33,56,64,2,5,2,90,2884,2020-03-03T22,,
2020-02-28,2,3,14,41,64,17,4,1,65,2906,2020-02-28T22,,
2020-02-25,2,9,43,49,63,15,3,1,77,2881,2020-02-25T22,,
2020-02-21,4,7,13,16,60,6,2,4,53,2934,2020-02-21T22,,
2020-02-18,6,12,39,61,70,4,3,4,93,2902,2020-02-18T22,,
2020-02-14,10,32,48,54,55,18,2,3,48,2930,2020-02-14T22,,
2020-02-11,4,6,32,52,64,6,4,3,90,2899,2020-02-11T22,,
2020-02-07,9,14,27,36,52,4,4,2,64,2902,2020-02-07T22,,
2020-02-04,32,48,50,51,64,10,2,2,75,2889,2020-02-04T22,,
2020-01-31,28,31,33,57,62,19,5,1,86,2900,2020-01-31T22,,
2020-01-28,17,36,47,51,62,21,2,1,61,2892,2020-01-28T22,,
2020-01-24,3,4,18,23,38,24,2,1,71,2889,2020-01-24T22,,
2020-01-21,16,18,29,31,37,8,5,4,51,2930,2020-01-21T22,,
2020-01-17,3,25,30,54,70,9,3,4,35,2940,2020-01-17T22,,
2020-01-14,9,11,13,31,47,11,2,3,90,2910,2020-01-14T22,,
2020-01-10,17,27,49,51,66,2,3,3,84,2918,2020-01-10T22,,
2020-01-07,25,40,41,52,56,21,4,2,48,2918,2020-01-07T22,,
2020-01-03,37,41,42,53,63,16,4,2,93,2882,2020-01-03T22,,
2019-12-31,30,44,49,53,56,11,4,1,56,2893,2019-12-31T22,,
2019-12-27,17,34,40,63,64,24,5,1,78,2911,2019-12-27T22,,
2019-12-24,27,37,48,63,66,11,5,4,74,2897,2019-12-24T22,,
2019-12-20,3,20,23,35,60,16,5,4,46,2936,2019-12-20T22,,
2019-12-17,22,30,53,55,56,16,3,3,68,2892,2019-12-17T22,,
2019-12-13,17,21,29,39,56,22,5,3,89,2870,2019-12-13T22,,
2019-12-10,18,31,46,54,61,25,4,2,73,2912,2019-12-10T22,,
2019-12-06,20,31,40,46,61,20,3,2,55,2909,2019-12-06T22,,
2019-12-03,23,43,60,63,69,19,3,1,73,2877,2019-12-03T22,,
2019-11-29,6,8,31,50,65,9,3,1,57,2902,2019-11-29T22,,
2019-11-26,8,27,29,38,43,13,4,1,69,2893,2019-11-26T22,,
2019-11-22,7,12,17,49,53,24,2,4,84,2891,2019-11-22T22,,
2019-11-19,22,43,44,47,66,22,4,3,66,2887,2019-11-19T22,,
2019-11-15,12,19,34,35,68,20,4,3,83,2899,2019-11-15T22,,
2019-11-12,19,30,44,56,65,24,2,2,66,2914,2019-11-12T22,,
2019-11-08,3,4,10,39,58,14,4,2,65,2913,2019-11-08T22,,
2019-11-05,2,9,24,49,54,19,4,2,60,2918,2019-11-05T22,,
2019-11-01,9,20,36,41,54,22,4,1,68,2912,2019-11-01T22,,
2019-10-29,4,9,17,27,39,22,2,1,90,2907,2019-10-29T22,,
2019-10-25,16,24,25,52,60,6,2,4,90,2897,2019-10-25T22,,*
2019-10-22,5,11,14,23,25,10,2,4,57,2892,2019-10-22T22,,*
2019-10-18,18,58,60,65,67,20,2,3,56,2887,2019-10-18T22,,
2019-10-15,4,12,14,35,70,2,4,3,93,2885,2019-10-15T22,,
2019-10-11,14,22,30,37,60,8,5,2,53,2897,2019-10-11T22,,
2019-10-08,5,8,10,17,48,23,3,2,82,2898,2019-10-08T22,,
2019-10-04,11,38,44,48,70,17,3,1,53,2892,2019-10-04T22,,
2019-10-01,10,17,39,42,59,3,4,1,59,2896,2019-10-01T22,,
2019-09-27,12,20,31,43,45,20,4,4,57,2892,2019-09-27T22,,
2019-09-24,6,14,24,42,46,9,3,4,37,2881,2019-09-24T22,,
2019-09-20,23,24,42,48,53,22,2,3,50,2918,2019-09-20T22,,
2019-09-17,12,15,30,50,65,1,3,3,65,2889,2019-09-17T22,,
2019-09-13,6,16,37,59,62,5,4,3,69,2914,2019-09-13T22,,
2019-09-10,34,47,48,50,55,24,2,2,58,2915,2019-09-10T22,,
2019-09-06,4,11,13,19,31,10,5,2,52,2887,2019-09-06T22,,
2019-09-03,13,20,27,61,62,5,4,1,57,2892,2019-09-03T22,,
2019-08-30,3,9,11,34,39,10,5,1,60,2904,2019-08-30T22,,
